parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone
sy0_i:25_j:45_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,25,45,1
sy0_i:25_j:55_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,25,55,1
sy0_i:25_j:65_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,25,65,1
sy0_i:35_j:25_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,35,25,1
sy0_i:35_j:35_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,35,35,1
sy0_i:35_j:45_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,35,45,1
sy0_i:35_j:55_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,35,55,1
sy0_i:35_j:65_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,35,65,1
sy0_i:45_j:25_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,45,25,1
sy0_i:45_j:35_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,45,35,1
sy0_i:45_j:45_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,45,45,1
sy0_i:45_j:55_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,45,55,1
sy0_i:45_j:65_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,45,65,1
sy0_i:55_j:45_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,55,45,1
sy0_i:55_j:55_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,55,55,1
sy0_i:55_j:65_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,55,65,1
sy0_i:5_j:15_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,5,15,1
sy0_i:5_j:5_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,5,5,1
sy0_i:65_j:55_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,65,55,1
sy0_i:75_j:55_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,75,55,1
sy0_i:85_j:45_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,85,45,1
sy0_i:85_j:55_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,85,55,1
sy0_i:95_j:55_zone:1,log,factor,0.01,0.0001,0.6,sy,1,0,1,95,55,1
