time,elapsed_seconds,message
15:42:12,4.41e-05,PEST++ performance logger started
15:42:12,0.0007244,starting to process control file
15:42:12,0.0429371,finished processing control file
15:42:12,0.0168843,starting basic model IO error checking
15:42:12,0.0347258,finished basic model IO error checking
15:42:12,0.0007525,loading parcov
15:42:12,0.0057551,beginning iteration 1
15:42:12,0.0004963,commencing to build jacobian parameter sets
15:42:12,0.0061256,jacobian parameter sets built, commencing model runs
