obsnme,obsval,weight,obgnme
gid5163_20081012,-19.3905505,0.15473557663381504,gid5163
gid5163_20081013,-19.404965,0.15473557663381504,gid5163
gid5163_20081014,-19.23507075,0.15473557663381504,gid5163
gid5163_20081015,-19.149949,0.15473557663381504,gid5163
gid5163_20081016,-18.990564,0.15473557663381504,gid5163
gid5163_20081017,-18.9703075,0.15473557663381504,gid5163
gid5163_20081018,-18.904204,0.15473557663381504,gid5163
gid5163_20081019,-18.90531525,0.15473557663381504,gid5163
gid5163_20081020,-19.0346965,0.15473557663381504,gid5163
gid5163_20081021,-19.05155575,0.15473557663381504,gid5163
gid5163_20081022,-19.060541,0.15473557663381504,gid5163
gid5163_20081023,-19.07035175,0.15473557663381504,gid5163
gid5163_20081024,-19.11581775,0.15473557663381504,gid5163
gid5163_20081025,-19.06514475,0.15473557663381504,gid5163
gid5163_20081026,-19.07613025,0.15473557663381504,gid5163
gid5163_20081027,-19.233007,0.15473557663381504,gid5163
gid5163_20081028,-19.23303875,0.15473557663381504,gid5163
gid5163_20081029,-19.21729075,0.15473557663381504,gid5163
gid5163_20081030,-19.24624675,0.15473557663381504,gid5163
gid5163_20081031,-19.30466675,0.15473557663381504,gid5163
gid5163_20081101,-19.23176875,0.15473557663381504,gid5163
gid5163_20081102,-19.222974,0.15473557663381504,gid5163
gid5163_20081103,-19.309969,0.15473557663381504,gid5163
gid5163_20081104,-19.3198115,0.15473557663381504,gid5163
gid5163_20081105,-19.2955545,0.15473557663381504,gid5163
gid5163_20081106,-19.30187275,0.15473557663381504,gid5163
gid5163_20081107,-19.30517475,0.15473557663381504,gid5163
gid5163_20081108,-19.2786,0.15473557663381504,gid5163
gid5163_20081109,-19.2183385,0.15473557663381504,gid5163
gid5163_20081110,-19.26123275,0.15473557663381504,gid5163
gid5163_20081111,-19.26942425,0.15473557663381504,gid5163
gid5163_20081112,-19.33540075,0.15473557663381504,gid5163
gid5163_20081113,-19.36537275,0.15473557663381504,gid5163
gid5163_20081114,-19.3855975,0.15473557663381504,gid5163
gid5163_20081115,-19.370421,0.15473557663381504,gid5163
gid5163_20081116,-19.27482175,0.15473557663381504,gid5163
gid5163_20081117,-19.3312415,0.15473557663381504,gid5163
gid5163_20081118,-19.35972125,0.15473557663381504,gid5163
gid5163_20081119,-19.4191255,0.15473557663381504,gid5163
gid5163_20081120,-19.42277675,0.15473557663381504,gid5163
gid5163_20081121,-19.43147625,0.15473557663381504,gid5163
gid5163_20081122,-19.30320625,0.15473557663381504,gid5163
gid5163_20081123,-19.1977645,0.15473557663381504,gid5163
gid5163_20081124,-19.305016,0.15473557663381504,gid5163
gid5163_20081125,-19.35699075,0.15473557663381504,gid5163
gid5163_20081126,-19.37667575,0.15473557663381504,gid5163
gid5163_20081127,-19.28891875,0.15473557663381504,gid5163
gid5163_20081128,-19.18109575,0.15473557663381504,gid5163
gid5163_20081129,-19.14013825,0.15473557663381504,gid5163
gid5163_20081130,-19.09391025,0.15473557663381504,gid5163
gid5163_20081201,-19.24237325,0.15473557663381504,gid5163
gid5163_20081202,-19.221704,0.15473557663381504,gid5163
gid5163_20081203,-19.22681575,0.15473557663381504,gid5163
gid5163_20081204,-19.2245615,0.15473557663381504,gid5163
gid5163_20081205,-19.172936,0.15473557663381504,gid5163
gid5163_20081206,-19.037808,0.15473557663381504,gid5163
gid5163_20081207,-18.98081675,0.15473557663381504,gid5163
gid5163_20081208,-19.05371475,0.15473557663381504,gid5163
gid5163_20081209,-19.073876,0.15473557663381504,gid5163
gid5163_20081210,-19.00805825,0.15473557663381504,gid5163
gid5163_20081211,-18.89712375,0.15473557663381504,gid5163
gid5163_20081212,-18.9146815,0.15473557663381504,gid5163
gid5163_20081213,-18.82911525,0.15473557663381504,gid5163
gid5163_20081214,-18.77742625,0.15473557663381504,gid5163
gid5163_20081215,-18.90252125,0.15473557663381504,gid5163
gid5163_20081216,-18.7996195,0.15473557663381504,gid5163
gid5163_20081217,-18.734659,0.15473557663381504,gid5163
gid5163_20081218,-18.702274,0.15473557663381504,gid5163
gid5163_20081219,-18.6764295,0.15473557663381504,gid5163
gid5163_20081220,-18.56882875,0.15473557663381504,gid5163
gid5163_20081221,-18.485739,0.15473557663381504,gid5163
gid5163_20081222,-18.48932675,0.15473557663381504,gid5163
gid5163_20081223,-18.44068575,0.15473557663381504,gid5163
gid5163_20081224,-18.550509,0.15473557663381504,gid5163
gid5163_20081225,-18.46456175,0.15473557663381504,gid5163
gid5163_20081226,-18.47091175,0.15473557663381504,gid5163
gid5163_20081227,-18.5385075,0.15473557663381504,gid5163
gid5163_20081228,-18.5600975,0.15473557663381504,gid5163
