pp_0000               2.2000000000E+03      3.9400000000E+04      1           1.0000000000E+00     
pp_0001               6.2000000000E+03      3.9400000000E+04      1           1.0000000000E+00     
pp_0002               6.2000000000E+03      3.5400000000E+04      1           1.0000000000E+00     
pp_0003               1.0200000000E+04      3.5400000000E+04      1           1.0000000000E+00     
pp_0004               1.4200000000E+04      3.5400000000E+04      1           1.0000000000E+00     
pp_0005               1.8200000000E+04      3.5400000000E+04      1           1.0000000000E+00     
pp_0006               2.2200000000E+04      3.5400000000E+04      1           1.0000000000E+00     
pp_0007               6.2000000000E+03      3.1400000000E+04      1           1.0000000000E+00     
pp_0008               1.0200000000E+04      3.1400000000E+04      1           1.0000000000E+00     
pp_0009               1.4200000000E+04      3.1400000000E+04      1           1.0000000000E+00     
pp_0010               1.8200000000E+04      3.1400000000E+04      1           1.0000000000E+00     
pp_0011               2.2200000000E+04      3.1400000000E+04      1           1.0000000000E+00     
pp_0012               2.6200000000E+04      3.1400000000E+04      1           1.0000000000E+00     
pp_0013               1.0200000000E+04      2.7400000000E+04      1           1.0000000000E+00     
pp_0014               1.4200000000E+04      2.7400000000E+04      1           1.0000000000E+00     
pp_0015               1.8200000000E+04      2.7400000000E+04      1           1.0000000000E+00     
pp_0016               2.2200000000E+04      2.7400000000E+04      1           1.0000000000E+00     
pp_0017               2.6200000000E+04      2.7400000000E+04      1           1.0000000000E+00     
pp_0018               1.0200000000E+04      2.3400000000E+04      1           1.0000000000E+00     
pp_0019               1.4200000000E+04      2.3400000000E+04      1           1.0000000000E+00     
pp_0020               1.8200000000E+04      2.3400000000E+04      1           1.0000000000E+00     
pp_0021               2.2200000000E+04      2.3400000000E+04      1           1.0000000000E+00     
pp_0022               2.6200000000E+04      2.3400000000E+04      1           1.0000000000E+00     
pp_0023               1.8200000000E+04      1.9400000000E+04      1           1.0000000000E+00     
pp_0024               2.2200000000E+04      1.9400000000E+04      1           1.0000000000E+00     
pp_0025               2.6200000000E+04      1.9400000000E+04      1           1.0000000000E+00     
pp_0026               2.2200000000E+04      1.5400000000E+04      1           1.0000000000E+00     
pp_0027               2.2200000000E+04      1.1400000000E+04      1           1.0000000000E+00     
pp_0028               1.8200000000E+04      7.4000000000E+03      1           1.0000000000E+00     
pp_0029               2.2200000000E+04      7.4000000000E+03      1           1.0000000000E+00     
pp_0030               2.2200000000E+04      3.4000000000E+03      1           1.0000000000E+00     
