pp_0000 2200.0 39400.0 1 0.01000000000000000020816682
pp_0001 6200.0 39400.0 1 0.010000000000000000208166817
pp_0002 6200.0 35400.0 1 0.0100000000000000002081668171
pp_0003 10200.0 35400.0 1 0.0100000000000000002081668171
pp_0004 14200.0 35400.0 1 0.0100000000000000002081668171
pp_0005 18200.0 35400.0 1 0.0100000000000000002081668171
pp_0006 22200.0 35400.0 1 0.0100000000000000002081668171
pp_0007 6200.0 31400.0 1 0.0100000000000000002081668171
pp_0008 10200.0 31400.0 1 0.0100000000000000002081668171
pp_0009 14200.0 31400.0 1 0.0100000000000000002081668171
pp_0010 18200.0 31400.0 1 0.0100000000000000002081668171
pp_0011 22200.0 31400.0 1 0.0100000000000000002081668171
pp_0012 26200.0 31400.0 1 0.0100000000000000002081668171
pp_0013 10200.0 27400.0 1 0.0100000000000000002081668171
pp_0014 14200.0 27400.0 1 0.0100000000000000002081668171
pp_0015 18200.0 27400.0 1 0.0100000000000000002081668171
pp_0016 22200.0 27400.0 1 0.0100000000000000002081668171
pp_0017 26200.0 27400.0 1 0.0100000000000000002081668171
pp_0018 10200.0 23400.0 1 0.0100000000000000002081668171
pp_0019 14200.0 23400.0 1 0.0100000000000000002081668171
pp_0020 18200.0 23400.0 1 0.0100000000000000002081668171
pp_0021 22200.0 23400.0 1 0.0100000000000000002081668171
pp_0022 26200.0 23400.0 1 0.0100000000000000002081668171
pp_0023 18200.0 19400.0 1 0.0100000000000000002081668171
pp_0024 22200.0 19400.0 1 0.0100000000000000002081668171
pp_0025 26200.0 19400.0 1 0.0100000000000000002081668171
pp_0026 22200.0 15400.0 1 0.0100000000000000002081668171
pp_0027 22200.0 11400.0 1 0.0100000000000000002081668171
pp_0028 18200.0 7400.0 1 0.0100000000000000002081668171
pp_0029 22200.0 7400.0 1 0.0100000000000000002081668171
pp_0030 22200.0 3400.0 1 0.0100000000000000002081668171
