pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
swat,relative,0.2,0.0,switch,1.5,parabolic,1e-05,0.5,smaller
hk,relative,0.2,0.0,switch,1.5,parabolic,1e-05,0.5,smaller
ss,relative,0.2,0.0,switch,1.5,parabolic,1e-05,0.5,smaller
sy,relative,0.2,0.0,switch,1.5,parabolic,1e-05,0.5,smaller
