time,elapsed_seconds,message
22:26:02,2.32e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,1.8e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,1.86e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.0027587,linear algebra multiplication to compute ugrade complete
22:26:02,0.0003065,commencing check of parameter bounds and gradients
22:26:02,4.28e-05,commencing calculation of upgrade vector
22:26:02,0.023642,forming JtQJ matrix
22:26:02,0.0026858,commencing to scale JtQJ matrix- first SVD...
22:26:02,5.04e-05,starting REDSVD
22:26:02,0.000536,retrieving REDSVD components
22:26:02,5.23e-05,triming REDSVD components to 9elements
22:26:02,2.51e-05,done REDSVD
22:26:02,3.89e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,1.49e-05,JS
22:26:02,0.0012229,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:26:02,0.0025622,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,3.32e-05,commencing SVD factorization of lambda-scaled JtQJ
22:26:02,1.63e-05,starting REDSVD
22:26:02,0.0005196,retrieving REDSVD components
22:26:02,3.72e-05,triming REDSVD components to 9elements
22:26:02,1.87e-05,done REDSVD
22:26:02,1.45e-05,SVD factorization complete
22:26:02,0.0006656,commencing linear algebra multiplication to compute ugrade
22:26:02,2.29e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,1.76e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,1.82e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.0029363,linear algebra multiplication to compute ugrade complete
22:26:02,0.0003734,commencing check of parameter bounds
22:26:02,5e-05,limiting out of bounds pars
22:26:02,7.96e-05,change limit/bound enforement for lambda 1: upper change limit,SOL_K, scaling factor: 3.38431e-06
22:26:02,0.0005255,checking for denormal floating point values
22:26:02,4.97e-05,transforming upgrade pars to model pars
22:26:02,3.11e-05,writing upgrade vector to csv file
22:26:02,0.0007333,beginning upgrade vector calculations, lambda = 10
22:26:02,0.000132,commencing calculation of upgrade vector
22:26:02,0.0213578,forming JtQJ matrix
22:26:02,0.0020002,commencing to scale JtQJ matrix- first SVD...
22:26:02,3.18e-05,starting REDSVD
22:26:02,0.0003551,retrieving REDSVD components
22:26:02,3.21e-05,triming REDSVD components to 9elements
22:26:02,1.55e-05,done REDSVD
22:26:02,3.12e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,1.01e-05,JS
22:26:02,0.0008381,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:26:02,0.0019546,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,3.14e-05,commencing SVD factorization of lambda-scaled JtQJ
22:26:02,1.16e-05,starting REDSVD
22:26:02,0.0003657,retrieving REDSVD components
22:26:02,2.57e-05,triming REDSVD components to 9elements
22:26:02,1.54e-05,done REDSVD
22:26:02,1.05e-05,SVD factorization complete
22:26:02,0.0004856,commencing linear algebra multiplication to compute ugrade
22:26:02,1.34e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,1.2e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,1.21e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.0023253,linear algebra multiplication to compute ugrade complete
22:26:02,0.0003165,commencing check of parameter bounds and gradients
22:26:02,4.23e-05,commencing calculation of upgrade vector
22:26:02,0.0204926,forming JtQJ matrix
22:26:02,0.0025067,commencing to scale JtQJ matrix- first SVD...
22:26:02,4.22e-05,starting REDSVD
22:26:02,0.0004477,retrieving REDSVD components
22:26:02,3.81e-05,triming REDSVD components to 9elements
22:26:02,2.04e-05,done REDSVD
22:26:02,5.56e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,1.51e-05,JS
22:26:02,0.0010517,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
